id,label,number_corners,length_width_ratio,perimeter_area_ratio,ratio_of_areas,solidity,mu02,mu03,m11,nu02,m12,mu21,mu20,nu20,m30,nu21,mu11,mu12,nu11,nu12,m02,m03,m00,m01,mu30,nu30,nu03,m10,m20,m21,hu1,hu2,hu3,hu4,hu5,hu6,hu7
1,Ilex_Aquifolium,24,1.65346534653,0.403736043516,19.3152018322,0.951738897806,877408746.31,3306344103.73,9986073479.33,0.0461683456458,2.38106668511e+12,-9038337282.06,2652016833.13,0.139546397646,8.66590142228e+12,-0.00128090371602,91286406.3196,7304217208.47,0.00480339679477,0.00103514603106,6675464982.0,1.7322025723e+12,137857.0,28271940.8333,-28521936759.1,-0.0040420990767,0.000468571631787,48248037.5,19538160609.7,4.06177780306e+12,0.0201384254566,5.94955384671e-05,2.03768813521e-08,3.34229132643e-08,8.69464188964e-16,2.56450922985e-10,6.9514255622e-17
2,Ilex_Aquifolium,16,1.66578249337,0.402214313958,18.7232898379,0.955859295974,610702398.96,117126332.15,7210186341.29,0.0474939166106,1.59518329066e+12,152607754.454,1736019030.05,0.135009037443,5.77579858008e+12,3.5244150833e-05,46629420.9386,4148754590.16,0.00362633884103,0.000958138287714,4768414867.25,1.14706336926e+12,113395.5,21713265.1667,-14412245013.4,-0.00332845037207,2.70498581908e-05,37411007.1667,14078514607.2,2.72671078706e+12,0.0193015015712,5.29803827035e-05,1.58512405671e-08,9.79369261306e-09,1.08547157447e-16,6.30397770263e-11,5.5747535793e-17
3,Ilex_Aquifolium,29,1.63386727689,0.417621145374,21.1465943748,0.914710818949,1038494814.12,-2454877348.41,12418749778.3,0.0481428978905,3.18649332575e+12,5438156615.62,2898897406.2,0.134388077749,1.11146738891e+13,0.000657826827939,-34491395.6946,9868627868.39,-0.00159896392207,0.0011937589565,8466476912.5,2.36865031975e+12,146871.0,33029610.3333,-36042031693.3,-0.004359825775,-0.00029695433457,55375160.8333,23777140472.0,5.32663670135e+12,0.0214956701814,6.25470648135e-05,3.30307776295e-08,2.35314219218e-08,6.1298273821e-16,1.82114028676e-10,-2.3375904517e-16
4,Ilex_Aquifolium,30,1.68723404255,0.414010015879,22.762306095,1.0,0.333333333314,2.98023223877e-08,470652.0,0.0833333333285,202851194.0,2.3515895009e-08,0.333333333256,0.0833333333139,325543218.0,4.15706220664e-09,0.0,1.05937942863e-08,0.0,1.87273594458e-09,371522.333333,160126413.0,2.0,862.0,1.19209289551e-07,2.10734242554e-08,5.26835606386e-09,1092.0,596232.333333,256976135.667,0.0237041720946,8.32925985412e-05,1.67330144912e-08,2.06409473829e-08,3.4519249896e-16,1.76148647501e-10,-1.67311349636e-16
5,Ilex_Aquifolium,34,1.5487804878,0.408062286255,18.9441897693,1.0,0.333333333314,1.49011611938e-08,347250.0,0.0833333333285,130218904.333,7.27595761418e-09,0.333333333314,0.0833333333285,198506157.0,1.28621974215e-09,0.0,4.01632860303e-09,0.0,7.09993297669e-10,281250.333333,105469125.0,2.0,750.0,2.98023223877e-08,5.26835606386e-09,2.63417803193e-09,926.0,428738.333333,160776875.0,0.0196123557991,4.38529887502e-05,2.33497667378e-08,2.73726025003e-08,6.68187059079e-16,1.81256857191e-10,-1.80029430859e-16
6,Ilex_Aquifolium,18,1.80487804878,0.405368298208,20.8278986751,0.951926539995,1019756291.92,240532360.814,12394103896.6,0.0441513021314,2.95462602803e+12,-1544011799.1,3376186425.79,0.14617514804,1.36239503306e+13,-0.000171478437846,1823927.75753,13459475884.8,7.89686576353e-05,0.00149481364087,7372999967.92,1.92472808067e+12,151976.5,31073199.6667,-55304804737.4,-0.00614216907363,2.67135999271e-05,60609636.5,27547871105.1,5.63236382551e+12,0.0223094377071,9.33244003057e-05,4.14584650154e-08,2.09454416646e-08,5.88138060087e-16,1.97571017986e-10,1.87231766833e-16
7,Ilex_Aquifolium,19,1.45623342175,0.409621380846,18.4385746102,0.948505841151,464463481.428,294011495.449,4867793516.46,0.0539779078522,1.06122310249e+12,-740090593.818,1023300997.97,0.118923551974,2.73486012162e+12,-0.000282400510605,19438200.4712,-1061322.85625,0.0022590223684,-4.04974903105e-07,3854062963.08,914596237343.0,92761.5,17732014.3333,-692732344.841,-0.00026432975845,0.000112187612073,25363204.8333,7958205666.58,1.53115673156e+12,0.0182298225067,2.61316352392e-05,1.86970375059e-09,1.00618523495e-09,1.32102138123e-18,4.97767093115e-12,3.99393243309e-19
8,Ilex_Aquifolium,23,1.62820512821,0.405776118266,18.8714470776,1.0,0.333333333314,1.49011611938e-08,266400.0,0.0833333333285,95904123.3333,6.98491930962e-09,0.333333333314,0.0833333333285,101306370.0,1.23477095247e-09,0.0,2.21189111471e-09,0.0,3.91010801615e-10,259200.333333,93312360.0,2.0,720.0,1.49011611938e-08,2.63417803193e-09,2.63417803193e-09,740.0,273800.333333,98568120.0,0.0196359927529,5.1106469219e-05,3.82745721104e-08,2.53018573867e-08,7.81505022188e-16,1.79018394136e-10,-9.59971167726e-17
9,Ilex_Aquifolium,18,1.54395604396,0.406658637302,17.5987611838,1.0,0.333333333314,1.49011611938e-08,267756.0,0.0833333333285,85146548.3333,6.17001205683e-09,0.333333333314,0.0833333333285,149237343.0,1.09071434135e-09,0.0,3.20142135024e-09,0.0,5.65936686548e-10,202248.333333,64315182.0,2.0,636.0,2.98023223877e-08,5.26835606386e-09,2.63417803193e-09,842.0,354482.333333,112725382.0,0.0181627941016,3.46615741846e-05,1.67572922482e-08,1.23747257432e-08,1.66423110553e-16,7.18216263772e-11,6.37042913401e-17
10,Ilex_Aquifolium,18,1.66046511628,0.413857677903,21.2942155639,0.946209381879,1149255139.63,-2196326525.46,12824752467.5,0.0477276606129,3.24718963549e+12,5023018753.1,3244499985.91,0.134741528532,1.20144209878e+13,0.000529549931272,4850594.32458,7365431298.5,0.000201441361202,0.00077649792478,8570316134.08,2.37466627045e+12,155175.5,33934744.0,-29204858294.9,-0.0030789115994,-0.00023154692781,58622357.1667,25390913303.6,5.56133087295e+12,0.0223392625653,7.16723722224e-05,2.49516982605e-08,1.82948162761e-08,3.76669957941e-16,1.53739284713e-10,-1.04431754095e-16
